Category,DayOfWeek,Time,PdDistrict,Resolution
SECONDARY CODES,Sunday,05:00,INGLESIDE,NONE
"SEX OFFENSES, FORCIBLE",Friday,19:40,CENTRAL,NONE
ASSAULT,Sunday,18:00,TARAVAL,NONE
LARCENY/THEFT,Saturday,07:30,MISSION,NONE
MISSING PERSON,Friday,08:30,PARK,NONE
VEHICLE THEFT,Sunday,21:00,CENTRAL,NONE
ROBBERY,Thursday,17:00,INGLESIDE,NONE
NON-CRIMINAL,Thursday,19:15,RICHMOND,NONE
LARCENY/THEFT,Thursday,20:30,TENDERLOIN,NONE
NON-CRIMINAL,Monday,09:30,MISSION,NONE
SUSPICIOUS OCC,Saturday,11:30,TENDERLOIN,NONE
BURGLARY,Saturday,15:00,INGLESIDE,NONE
DRIVING UNDER THE INFLUENCE,Wednesday,19:00,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,Thursday,06:30,TENDERLOIN,NONE
ASSAULT,Friday,00:20,CENTRAL,NONE
NON-CRIMINAL,Thursday,00:01,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,13:56,TARAVAL,"ARREST, BOOKED"
BURGLARY,Thursday,16:00,NORTHERN,NONE
WARRANTS,Friday,19:06,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Thursday,13:20,TENDERLOIN,NONE
SECONDARY CODES,Friday,09:15,BAYVIEW,NONE
ASSAULT,Wednesday,04:16,TENDERLOIN,NONE
BURGLARY,Sunday,09:25,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,17:15,SOUTHERN,NONE
OTHER OFFENSES,Thursday,11:44,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,13:40,PARK,NONE
OTHER OFFENSES,Wednesday,14:50,CENTRAL,"ARREST, BOOKED"
WEAPON LAWS,Thursday,16:34,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,14:43,CENTRAL,NONE
LARCENY/THEFT,Sunday,12:00,BAYVIEW,NONE
SECONDARY CODES,Thursday,22:05,TARAVAL,NONE
BURGLARY,Saturday,13:00,INGLESIDE,NONE
TRESPASS,Friday,12:00,RICHMOND,NONE
LARCENY/THEFT,Friday,19:06,BAYVIEW,NONE
LARCENY/THEFT,Tuesday,21:00,TARAVAL,NONE
BURGLARY,Sunday,00:55,NORTHERN,NONE
TRESPASS,Wednesday,16:25,CENTRAL,NONE
"SEX OFFENSES, FORCIBLE",Wednesday,11:00,CENTRAL,NONE
BURGLARY,Friday,23:30,TARAVAL,NONE
VEHICLE THEFT,Thursday,08:00,NORTHERN,NONE
LARCENY/THEFT,Monday,13:55,PARK,NONE
ASSAULT,Saturday,18:40,NORTHERN,"ARREST, BOOKED"
DRUNKENNESS,Thursday,12:30,TARAVAL,NONE
OTHER OFFENSES,Saturday,00:01,BAYVIEW,NONE
LARCENY/THEFT,Saturday,03:00,SOUTHERN,NONE
VEHICLE THEFT,Friday,01:00,NORTHERN,NONE
SUSPICIOUS OCC,Saturday,00:25,PARK,NONE
VANDALISM,Friday,17:00,BAYVIEW,NONE
NON-CRIMINAL,Monday,12:00,MISSION,NONE
OTHER OFFENSES,Saturday,16:31,BAYVIEW,NONE
NON-CRIMINAL,Sunday,23:00,SOUTHERN,NONE
BURGLARY,Sunday,06:30,NORTHERN,"ARREST, BOOKED"
SUSPICIOUS OCC,Thursday,10:37,MISSION,NONE
LARCENY/THEFT,Monday,17:40,BAYVIEW,NONE
VANDALISM,Thursday,00:01,TARAVAL,NONE
NON-CRIMINAL,Sunday,06:35,TENDERLOIN,"ARREST, BOOKED"
VEHICLE THEFT,Monday,16:00,INGLESIDE,NONE
ASSAULT,Monday,06:42,RICHMOND,NONE
OTHER OFFENSES,Monday,09:33,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,09:00,CENTRAL,NONE
NON-CRIMINAL,Monday,01:30,TARAVAL,NONE
MISSING PERSON,Monday,09:45,SOUTHERN,NONE
BURGLARY,Monday,07:00,PARK,NONE
LARCENY/THEFT,Wednesday,23:00,NORTHERN,NONE
SUSPICIOUS OCC,Friday,23:40,INGLESIDE,NONE
LARCENY/THEFT,Thursday,21:30,RICHMOND,NONE
OTHER OFFENSES,Monday,16:41,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,16:00,NORTHERN,NONE
ROBBERY,Sunday,05:10,TARAVAL,NONE
LARCENY/THEFT,Sunday,09:45,BAYVIEW,NONE
OTHER OFFENSES,Monday,17:09,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,09:00,NORTHERN,NONE
LARCENY/THEFT,Wednesday,09:00,MISSION,NONE
BURGLARY,Thursday,12:00,SOUTHERN,NONE
OTHER OFFENSES,Sunday,00:01,INGLESIDE,NONE
NON-CRIMINAL,Saturday,17:00,PARK,NONE
WARRANTS,Saturday,04:12,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,14:45,TARAVAL,NONE
ASSAULT,Monday,17:00,NORTHERN,NONE
MISSING PERSON,Tuesday,19:26,NORTHERN,NONE
SUSPICIOUS OCC,Wednesday,20:06,SOUTHERN,NONE
LARCENY/THEFT,Wednesday,18:51,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,Tuesday,13:57,PARK,NONE
OTHER OFFENSES,Monday,16:46,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Friday,11:33,MISSION,NONE
OTHER OFFENSES,Friday,11:00,TARAVAL,"ARREST, BOOKED"
TRESPASS,Wednesday,02:46,MISSION,NONE
DRUG/NARCOTIC,Sunday,01:53,TARAVAL,"ARREST, BOOKED"
SECONDARY CODES,Monday,17:50,TARAVAL,NONE
EMBEZZLEMENT,Saturday,00:01,CENTRAL,NONE
NON-CRIMINAL,Friday,14:30,INGLESIDE,NONE
DRUG/NARCOTIC,Wednesday,14:46,TENDERLOIN,"ARREST, BOOKED"
FRAUD,Saturday,17:29,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,21:00,INGLESIDE,NONE
ASSAULT,Monday,01:00,TARAVAL,NONE
OTHER OFFENSES,Tuesday,16:10,INGLESIDE,NONE
OTHER OFFENSES,Tuesday,12:38,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Tuesday,21:24,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Monday,08:00,CENTRAL,NONE
NON-CRIMINAL,Sunday,08:00,TARAVAL,NONE
NON-CRIMINAL,Sunday,07:11,SOUTHERN,NONE
OTHER OFFENSES,Monday,18:43,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,20:15,SOUTHERN,NONE
WARRANTS,Friday,08:12,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,17:00,NORTHERN,NONE
NON-CRIMINAL,Saturday,03:40,MISSION,NONE
NON-CRIMINAL,Sunday,19:58,INGLESIDE,NONE
VEHICLE THEFT,Thursday,19:00,INGLESIDE,NONE
ASSAULT,Sunday,22:25,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,08:30,CENTRAL,NONE
DRUG/NARCOTIC,Thursday,06:14,NORTHERN,"ARREST, BOOKED"
LIQUOR LAWS,Tuesday,17:30,RICHMOND,"ARREST, BOOKED"
ASSAULT,Sunday,14:30,BAYVIEW,"ARREST, BOOKED"
VEHICLE THEFT,Monday,20:00,NORTHERN,NONE
ASSAULT,Tuesday,20:45,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,17:48,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,19:30,CENTRAL,NONE
ASSAULT,Monday,21:50,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,Tuesday,16:57,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,Monday,15:25,SOUTHERN,NONE
LARCENY/THEFT,Monday,20:30,INGLESIDE,NONE
LARCENY/THEFT,Saturday,19:10,NORTHERN,NONE
ASSAULT,Saturday,11:20,SOUTHERN,NONE
DRUG/NARCOTIC,Saturday,12:08,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,Friday,12:00,SOUTHERN,NONE
VANDALISM,Thursday,06:00,MISSION,NONE
VANDALISM,Friday,00:01,INGLESIDE,NONE
DRUG/NARCOTIC,Monday,06:24,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,19:10,SOUTHERN,NONE
VANDALISM,Thursday,13:45,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Thursday,23:01,PARK,NONE
LARCENY/THEFT,Thursday,19:00,MISSION,NONE
LARCENY/THEFT,Wednesday,09:10,PARK,NONE
DRUG/NARCOTIC,Monday,21:10,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,Wednesday,14:35,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,17:00,SOUTHERN,NONE
NON-CRIMINAL,Thursday,20:30,BAYVIEW,NONE
LARCENY/THEFT,Sunday,14:00,NORTHERN,NONE
LARCENY/THEFT,Thursday,11:00,RICHMOND,NONE
LARCENY/THEFT,Sunday,10:00,NORTHERN,NONE
STOLEN PROPERTY,Wednesday,10:19,SOUTHERN,NONE
NON-CRIMINAL,Thursday,16:00,CENTRAL,NONE
VEHICLE THEFT,Friday,21:00,INGLESIDE,NONE
LARCENY/THEFT,Sunday,16:37,NORTHERN,NONE
DRUG/NARCOTIC,Sunday,18:18,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,10:47,PARK,NONE
OTHER OFFENSES,Monday,18:43,BAYVIEW,"ARREST, BOOKED"
BURGLARY,Saturday,10:45,BAYVIEW,NONE
VANDALISM,Saturday,19:00,SOUTHERN,NONE
LARCENY/THEFT,Friday,19:30,INGLESIDE,NONE
OTHER OFFENSES,Friday,01:10,MISSION,"ARREST, BOOKED"
WARRANTS,Thursday,13:10,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,16:00,NORTHERN,NONE
OTHER OFFENSES,Saturday,14:24,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,Saturday,05:26,TENDERLOIN,NONE
WARRANTS,Thursday,15:49,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,19:10,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Tuesday,20:50,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,Thursday,14:40,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,23:00,NORTHERN,NONE
KIDNAPPING,Wednesday,18:00,BAYVIEW,NONE
ASSAULT,Sunday,18:15,INGLESIDE,NONE
LARCENY/THEFT,Wednesday,21:50,SOUTHERN,NONE
OTHER OFFENSES,Sunday,19:36,SOUTHERN,"ARREST, BOOKED"
WARRANTS,Monday,21:41,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,18:10,CENTRAL,NONE
LARCENY/THEFT,Wednesday,08:00,RICHMOND,NONE
NON-CRIMINAL,Saturday,13:00,BAYVIEW,NONE
NON-CRIMINAL,Friday,12:50,PARK,NONE
ASSAULT,Monday,07:10,INGLESIDE,NONE
OTHER OFFENSES,Saturday,21:00,INGLESIDE,NONE
ASSAULT,Wednesday,19:00,NORTHERN,"ARREST, BOOKED"
ASSAULT,Wednesday,23:40,SOUTHERN,"ARREST, BOOKED"
RECOVERED VEHICLE,Tuesday,12:01,INGLESIDE,NONE
LARCENY/THEFT,Saturday,13:00,TARAVAL,NONE
LARCENY/THEFT,Thursday,17:00,NORTHERN,NONE
OTHER OFFENSES,Saturday,22:10,SOUTHERN,"ARREST, BOOKED"
MISSING PERSON,Tuesday,07:18,TARAVAL,NONE
TRESPASS,Saturday,09:11,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,13:39,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,Monday,02:00,CENTRAL,"ARREST, BOOKED"
MISSING PERSON,Tuesday,10:00,CENTRAL,NONE
LARCENY/THEFT,Saturday,15:30,RICHMOND,NONE
LARCENY/THEFT,Monday,16:00,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Monday,20:20,CENTRAL,NONE
SECONDARY CODES,Wednesday,09:00,TARAVAL,NONE
OTHER OFFENSES,Thursday,14:55,SOUTHERN,NONE
LARCENY/THEFT,Wednesday,22:00,RICHMOND,NONE
LARCENY/THEFT,Friday,06:14,SOUTHERN,NONE
VEHICLE THEFT,Friday,18:45,BAYVIEW,NONE
VANDALISM,Tuesday,16:30,INGLESIDE,NONE
MISSING PERSON,Friday,15:30,TARAVAL,NONE
NON-CRIMINAL,Monday,13:05,CENTRAL,NONE
VEHICLE THEFT,Wednesday,19:00,PARK,NONE
SUSPICIOUS OCC,Wednesday,19:13,MISSION,NONE
LARCENY/THEFT,Sunday,00:01,SOUTHERN,NONE
SUSPICIOUS OCC,Wednesday,15:16,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Thursday,18:36,NORTHERN,"ARREST, BOOKED"
VANDALISM,Monday,17:30,INGLESIDE,NONE
LARCENY/THEFT,Friday,08:00,PARK,NONE
NON-CRIMINAL,Saturday,12:30,PARK,NONE
NON-CRIMINAL,Monday,03:15,SOUTHERN,NONE
ASSAULT,Friday,18:30,BAYVIEW,NONE
NON-CRIMINAL,Monday,17:00,SOUTHERN,NONE
DRUG/NARCOTIC,Friday,14:52,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Sunday,14:10,RICHMOND,NONE
OTHER OFFENSES,Tuesday,20:45,SOUTHERN,NONE
WARRANTS,Thursday,22:35,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,17:34,PARK,NONE
NON-CRIMINAL,Sunday,18:30,BAYVIEW,NONE
DRUG/NARCOTIC,Monday,21:46,SOUTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Friday,07:00,MISSION,NONE
FORGERY/COUNTERFEITING,Wednesday,12:00,NORTHERN,NONE
VEHICLE THEFT,Saturday,23:30,BAYVIEW,NONE
LARCENY/THEFT,Sunday,01:00,SOUTHERN,NONE
VEHICLE THEFT,Saturday,19:00,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,12:24,TENDERLOIN,NONE
LARCENY/THEFT,Wednesday,23:10,INGLESIDE,NONE
WEAPON LAWS,Sunday,22:15,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,21:30,NORTHERN,NONE
MISSING PERSON,Monday,20:42,INGLESIDE,NONE
NON-CRIMINAL,Friday,12:00,MISSION,NONE
LARCENY/THEFT,Tuesday,12:45,CENTRAL,NONE
BURGLARY,Sunday,19:48,TARAVAL,NONE
LARCENY/THEFT,Sunday,00:01,TARAVAL,NONE
DRUG/NARCOTIC,Wednesday,23:27,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,10:45,BAYVIEW,NONE
WARRANTS,Wednesday,20:33,SOUTHERN,"ARREST, BOOKED"
VANDALISM,Saturday,18:30,TARAVAL,NONE
LARCENY/THEFT,Saturday,12:30,CENTRAL,NONE
NON-CRIMINAL,Monday,10:13,TARAVAL,NONE
OTHER OFFENSES,Monday,16:40,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,16:00,NORTHERN,NONE
SUSPICIOUS OCC,Wednesday,13:00,NORTHERN,NONE
NON-CRIMINAL,Sunday,12:17,PARK,"ARREST, BOOKED"
ARSON,Sunday,22:30,RICHMOND,NONE
WARRANTS,Wednesday,19:16,BAYVIEW,"ARREST, BOOKED"
PROSTITUTION,Thursday,15:35,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,21:00,NORTHERN,NONE
LARCENY/THEFT,Thursday,15:00,CENTRAL,NONE
LARCENY/THEFT,Monday,19:00,CENTRAL,NONE
DRUG/NARCOTIC,Saturday,13:05,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,02:28,CENTRAL,"ARREST, BOOKED"
NON-CRIMINAL,Saturday,07:55,RICHMOND,NONE
LARCENY/THEFT,Tuesday,15:15,CENTRAL,"ARREST, BOOKED"
SUSPICIOUS OCC,Saturday,14:00,PARK,NONE
LARCENY/THEFT,Saturday,15:30,NORTHERN,NONE
TRESPASS,Saturday,15:00,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Monday,16:30,CENTRAL,NONE
OTHER OFFENSES,Thursday,11:00,CENTRAL,NONE
LARCENY/THEFT,Saturday,19:00,CENTRAL,NONE
OTHER OFFENSES,Thursday,03:52,SOUTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Tuesday,09:05,INGLESIDE,NONE
VEHICLE THEFT,Monday,22:00,INGLESIDE,NONE
LARCENY/THEFT,Sunday,15:00,SOUTHERN,NONE
NON-CRIMINAL,Tuesday,15:00,INGLESIDE,NONE
ASSAULT,Thursday,12:50,INGLESIDE,NONE
LARCENY/THEFT,Saturday,22:30,SOUTHERN,NONE
ASSAULT,Saturday,23:02,MISSION,NONE
VANDALISM,Monday,01:00,TENDERLOIN,NONE
TRESPASS,Saturday,19:42,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,00:42,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Friday,13:00,CENTRAL,NONE
LARCENY/THEFT,Thursday,14:30,RICHMOND,NONE
LARCENY/THEFT,Thursday,13:00,SOUTHERN,NONE
LARCENY/THEFT,Monday,23:00,NORTHERN,NONE
"SEX OFFENSES, FORCIBLE",Friday,06:24,MISSION,"ARREST, BOOKED"
WARRANTS,Wednesday,13:54,TENDERLOIN,"ARREST, BOOKED"
VEHICLE THEFT,Wednesday,21:00,TARAVAL,NONE
DRUG/NARCOTIC,Tuesday,18:51,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,10:00,SOUTHERN,NONE
LARCENY/THEFT,Tuesday,23:00,MISSION,NONE
ASSAULT,Sunday,18:50,MISSION,NONE
SECONDARY CODES,Saturday,23:20,CENTRAL,NONE
VEHICLE THEFT,Friday,22:00,NORTHERN,NONE
DRUG/NARCOTIC,Saturday,14:11,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,Friday,16:41,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,14:30,SOUTHERN,NONE
MISSING PERSON,Wednesday,18:00,INGLESIDE,NONE
VEHICLE THEFT,Friday,22:35,CENTRAL,NONE
MISSING PERSON,Wednesday,08:30,PARK,NONE
WARRANTS,Thursday,16:10,TARAVAL,"ARREST, BOOKED"
ASSAULT,Saturday,20:40,BAYVIEW,NONE
VANDALISM,Saturday,15:00,TARAVAL,NONE
VEHICLE THEFT,Monday,18:00,MISSION,NONE
NON-CRIMINAL,Sunday,01:44,BAYVIEW,NONE
SECONDARY CODES,Friday,08:47,INGLESIDE,NONE
VANDALISM,Thursday,15:22,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Sunday,00:01,TENDERLOIN,NONE
ARSON,Wednesday,19:30,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,01:00,INGLESIDE,NONE
FRAUD,Friday,15:44,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,13:10,TARAVAL,NONE
LARCENY/THEFT,Thursday,08:50,BAYVIEW,NONE
ASSAULT,Tuesday,20:26,TARAVAL,"ARREST, BOOKED"
OTHER OFFENSES,Friday,00:42,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Monday,12:30,SOUTHERN,NONE
LARCENY/THEFT,Thursday,19:06,SOUTHERN,NONE
MISSING PERSON,Monday,06:15,PARK,NONE
RECOVERED VEHICLE,Wednesday,00:31,SOUTHERN,NONE
ASSAULT,Sunday,21:27,SOUTHERN,NONE
VEHICLE THEFT,Tuesday,23:15,BAYVIEW,NONE
OTHER OFFENSES,Sunday,10:12,CENTRAL,"ARREST, BOOKED"
ROBBERY,Sunday,01:00,CENTRAL,NONE
LARCENY/THEFT,Monday,13:00,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,16:22,RICHMOND,NONE
LARCENY/THEFT,Saturday,20:30,NORTHERN,NONE
TRESPASS,Friday,07:24,SOUTHERN,NONE
BURGLARY,Wednesday,07:30,TENDERLOIN,NONE
DRUG/NARCOTIC,Saturday,02:27,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,12:00,BAYVIEW,NONE
VANDALISM,Tuesday,12:00,NORTHERN,NONE
ROBBERY,Thursday,16:20,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,Friday,08:51,CENTRAL,NONE
MISSING PERSON,Thursday,12:00,PARK,NONE
LARCENY/THEFT,Wednesday,06:00,SOUTHERN,NONE
WARRANTS,Friday,16:52,SOUTHERN,"ARREST, BOOKED"
RECOVERED VEHICLE,Tuesday,14:10,BAYVIEW,NONE
LARCENY/THEFT,Sunday,16:30,SOUTHERN,NONE
OTHER OFFENSES,Monday,08:45,NORTHERN,NONE
OTHER OFFENSES,Thursday,23:28,NORTHERN,NONE
BURGLARY,Tuesday,16:09,TARAVAL,NONE
LARCENY/THEFT,Monday,22:00,PARK,NONE
ASSAULT,Monday,00:15,CENTRAL,"ARREST, BOOKED"
FRAUD,Monday,12:00,INGLESIDE,NONE
NON-CRIMINAL,Sunday,16:00,PARK,NONE
NON-CRIMINAL,Monday,02:28,INGLESIDE,NONE
LARCENY/THEFT,Wednesday,15:30,NORTHERN,NONE
NON-CRIMINAL,Thursday,08:36,NORTHERN,NONE
LARCENY/THEFT,Friday,22:00,RICHMOND,NONE
ASSAULT,Thursday,17:30,SOUTHERN,"ARREST, BOOKED"
SUSPICIOUS OCC,Tuesday,14:20,MISSION,NONE
NON-CRIMINAL,Tuesday,22:30,INGLESIDE,NONE
WARRANTS,Tuesday,15:30,SOUTHERN,"ARREST, BOOKED"
VANDALISM,Wednesday,15:00,CENTRAL,NONE
OTHER OFFENSES,Saturday,06:00,TENDERLOIN,NONE
OTHER OFFENSES,Thursday,10:33,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,15:00,NORTHERN,NONE
WARRANTS,Wednesday,06:10,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,14:00,SOUTHERN,NONE
BURGLARY,Monday,09:30,TARAVAL,NONE
NON-CRIMINAL,Thursday,12:44,SOUTHERN,NONE
ARSON,Thursday,03:12,CENTRAL,NONE
NON-CRIMINAL,Wednesday,18:40,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,Monday,14:25,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,Tuesday,07:44,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Wednesday,16:50,NORTHERN,NONE
LARCENY/THEFT,Tuesday,15:30,CENTRAL,NONE
OTHER OFFENSES,Thursday,10:20,SOUTHERN,NONE
ROBBERY,Friday,20:59,RICHMOND,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,07:45,NORTHERN,NONE
"SEX OFFENSES, FORCIBLE",Tuesday,08:00,CENTRAL,NONE
ARSON,Wednesday,07:40,NORTHERN,NONE
OTHER OFFENSES,Thursday,14:50,BAYVIEW,"ARREST, BOOKED"
SECONDARY CODES,Wednesday,09:15,BAYVIEW,NONE
ASSAULT,Friday,18:00,SOUTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Tuesday,01:15,BAYVIEW,NONE
LARCENY/THEFT,Wednesday,11:00,RICHMOND,NONE
NON-CRIMINAL,Sunday,11:45,SOUTHERN,NONE
SECONDARY CODES,Sunday,18:00,INGLESIDE,NONE
NON-CRIMINAL,Monday,21:00,CENTRAL,NONE
LARCENY/THEFT,Sunday,01:58,CENTRAL,NONE
OTHER OFFENSES,Wednesday,12:42,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,Sunday,00:25,CENTRAL,"ARREST, BOOKED"
TRESPASS,Monday,19:11,NORTHERN,"ARREST, BOOKED"
WEAPON LAWS,Tuesday,08:00,BAYVIEW,NONE
DRUNKENNESS,Saturday,01:07,SOUTHERN,NONE
ASSAULT,Saturday,17:11,CENTRAL,NONE
ASSAULT,Friday,09:00,BAYVIEW,NONE
STOLEN PROPERTY,Monday,14:55,TARAVAL,"ARREST, BOOKED"
DRUG/NARCOTIC,Sunday,11:57,NORTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Sunday,01:00,PARK,NONE
NON-CRIMINAL,Tuesday,08:20,NORTHERN,NONE
WEAPON LAWS,Friday,04:10,NORTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Sunday,18:00,BAYVIEW,NONE
LARCENY/THEFT,Wednesday,23:00,CENTRAL,NONE
LARCENY/THEFT,Wednesday,12:00,TARAVAL,NONE
SUSPICIOUS OCC,Saturday,09:04,MISSION,NONE
WARRANTS,Monday,09:32,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,20:40,NORTHERN,NONE
NON-CRIMINAL,Tuesday,08:59,BAYVIEW,NONE
OTHER OFFENSES,Tuesday,14:56,TARAVAL,NONE
OTHER OFFENSES,Saturday,15:40,TARAVAL,NONE
LARCENY/THEFT,Monday,12:36,CENTRAL,NONE
ASSAULT,Tuesday,16:40,SOUTHERN,NONE
ASSAULT,Monday,00:52,CENTRAL,NONE
VANDALISM,Monday,17:00,BAYVIEW,NONE
LARCENY/THEFT,Tuesday,22:15,CENTRAL,NONE
SECONDARY CODES,Tuesday,10:45,INGLESIDE,NONE
BURGLARY,Friday,12:00,BAYVIEW,NONE
DRUG/NARCOTIC,Sunday,18:31,SOUTHERN,"ARREST, BOOKED"
FRAUD,Friday,10:00,TARAVAL,NONE
LARCENY/THEFT,Thursday,18:30,RICHMOND,NONE
LARCENY/THEFT,Friday,16:57,TARAVAL,NONE
VEHICLE THEFT,Thursday,08:00,NORTHERN,NONE
OTHER OFFENSES,Sunday,17:58,RICHMOND,"ARREST, BOOKED"
VANDALISM,Tuesday,15:42,BAYVIEW,NONE
ASSAULT,Saturday,20:50,NORTHERN,"ARREST, BOOKED"
WARRANTS,Thursday,09:30,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,14:44,PARK,"ARREST, BOOKED"
VEHICLE THEFT,Tuesday,15:00,INGLESIDE,NONE
ASSAULT,Thursday,08:00,TARAVAL,"ARREST, BOOKED"
ASSAULT,Wednesday,21:00,TARAVAL,NONE
OTHER OFFENSES,Sunday,15:00,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,10:30,NORTHERN,NONE
SUSPICIOUS OCC,Saturday,23:49,TENDERLOIN,NONE
LARCENY/THEFT,Sunday,13:50,SOUTHERN,NONE
VANDALISM,Monday,22:00,TARAVAL,NONE
VANDALISM,Tuesday,20:45,MISSION,NONE
VEHICLE THEFT,Tuesday,18:00,TARAVAL,NONE
SUSPICIOUS OCC,Friday,09:00,INGLESIDE,NONE
ASSAULT,Saturday,08:10,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,01:00,MISSION,NONE
NON-CRIMINAL,Saturday,10:25,TARAVAL,NONE
BURGLARY,Monday,16:00,TARAVAL,NONE
OTHER OFFENSES,Friday,20:09,TARAVAL,"ARREST, BOOKED"
ASSAULT,Thursday,16:20,RICHMOND,NONE
DRUG/NARCOTIC,Saturday,22:35,NORTHERN,"ARREST, BOOKED"
BURGLARY,Friday,00:01,RICHMOND,NONE
NON-CRIMINAL,Tuesday,17:00,SOUTHERN,NONE
WEAPON LAWS,Thursday,22:15,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Monday,12:00,SOUTHERN,NONE
FRAUD,Sunday,12:00,PARK,NONE
SUSPICIOUS OCC,Wednesday,20:51,SOUTHERN,NONE
LARCENY/THEFT,Saturday,16:34,TARAVAL,"ARREST, BOOKED"
